Type,FID,beta.sor,beta.sim,beta.sne,LSP,MAT,MAP,TA,PA,TSN,PSN,PCP,CWE,LSD,GMD,NVT,PDC,PSA
subtropical evergreen broad-leaved forest,185,0.244202899,0.150651466,0.093551433,149,17.05824307,1219.833333,3.058243076,77.33333333,412.634487,87.12797761,0.273662932,0.007736379,0.863867152,0,11,0.079777778,0.720254799
subtropical evergreen broad-leaved forest,186,0.221482098,0.133456905,0.088025194,157,18.23671355,1246.666667,2.403380275,125.8333333,417.3192923,87.69037579,0.270962017,0.008077963,0.861728719,0,9,0.0777,0.662573751
subtropical evergreen broad-leaved forest,187,0.212704524,0.138947368,0.073757155,157,16.57622396,1380,2.742890636,195.8333333,443.0507288,84.32139994,0.279737873,0.00834618,0.861634592,0,8,0.0823,0.623588017
subtropical evergreen broad-leaved forest,188,0.180708181,0.100536193,0.080171988,155,16.32601826,1500.5,2.826018274,274.75,455.9471674,83.36764273,0.281766806,0.008062145,0.863871001,0,7,0.077566667,0.598926301
subtropical evergreen broad-leaved forest,189,0.150259067,0.076056338,0.074202729,154,16.13823085,1543.166667,3.13823084,316.6666667,465.7857312,90.09550135,0.288751746,0.007411232,0.863966899,0,8,0.074233333,0.639787441
Tropical rain forest,190,0.158069884,0.118466899,0.039602985,152,17.68566249,1533.8,3.28566246,290,480.4217456,90.78696297,0.288997839,0.006582474,0.861409764,0,8,0.07458,0.67731588
Tropical rain forest,193,0.1856,0.15448505,0.03111495,158,19.41696526,1470,3.750298619,139.6666667,520.4565172,87.75970609,0.275842489,0.005110071,0.865485854,0,12,0.0447,0.797452568
Tropical rain forest,194,0.19,0.143989432,0.046010568,158,20.06644007,1510.25,4.066439927,178.25,542.6251288,87.08042183,0.272405952,0.005031261,0.860586086,0,11,0.045533333,0.794067546
subtropical evergreen broad-leaved forest,195,0.251689189,0.139805825,0.111883364,154,20.92398611,1501.166667,3.423986077,200.5,550.9317881,82.26462815,0.257511531,0.005248943,0.856894192,0,10,0.0473125,0.750698973
subtropical evergreen broad-leaved forest,196,0.277975766,0.152301255,0.125674511,158,21.59812149,1540.5,3.264788111,188.6666667,576.6888467,76.28264259,0.237404636,0.005253942,0.853198214,0,10,0.0461,0.68027887
subtropical evergreen broad-leaved forest,197,0.296556571,0.163043478,0.133513092,152,22.05463541,1595.833333,2.887968779,168,606.5337706,70.78965936,0.226956691,0.00510043,0.855977557,0,10,0.046144444,0.618537542
subtropical evergreen broad-leaved forest,198,0.302538787,0.170302013,0.132236774,152,21.80138029,1622,2.801380277,144.75,616.1575757,67.10259059,0.217686191,0.005037359,0.85111606,4708.267836,9,0.047544444,0.581694001
subtropical evergreen broad-leaved forest,199,0.318115942,0.178883072,0.13923287,145,21.20429341,1605.666667,2.70429345,109.1666667,620.0484947,66.18730736,0.206301077,0.005121177,0.854836245,21051.80402,8,0.047344444,0.563286572
subtropical evergreen broad-leaved forest,200,0.346097202,0.233160622,0.11293658,146,21.44912676,1475.333333,2.782460094,58.83333333,621.0228215,67.09945309,0.192514147,0.0051387,0.852886421,35524.68889,8,0.049977778,0.530842323
subtropical evergreen broad-leaved forest,201,0.337395278,0.250645995,0.086749283,145,21.68787763,1397.75,2.937877595,37.5,614.5565653,66.91454995,0.187423308,0.004991294,0.849248542,48251.56366,6,0.050755556,0.497986207
subtropical evergreen broad-leaved forest,202,0.296325879,0.197632058,0.09869382,136,21.8696303,1439.5,3.036297003,135.6666667,609.0297075,65.35636784,0.202578329,0.00471507,0.84794387,59147.03861,6,0.052433333,0.544241325
subtropical evergreen broad-leaved forest,203,0.25375626,0.150190114,0.103566146,137,21.75136628,1541.666667,2.751366218,41.83333333,607.9931123,66.71890798,0.217908707,0.004410086,0.846424483,70326.71385,6,0.051677778,0.659847179
