"variable_combination","adjR2","AIC"
"PA_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.774","233.134"
"PA_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.778","230.126"
"PA_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.72","268.282"
"TCV_mean+PCV_sd+MAT_mean+MAT_sd+NA+NA+NA+NA+NA","0.785","225.355"
"TCV_mean+PCV_sd+MAT_mean+TSN_mean+NA+NA+NA+NA+NA","0.788","222.761"
"TCV_mean+PCV_sd+MAT_mean+PSN_mean+NA+NA+NA+NA+NA","0.792","219.339"
"TCV_mean+PCV_sd+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.734","259.633"
"TCV_mean+PCV_sd+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.732","260.824"
"TCV_mean+PCV_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.742","254.636"
"TCV_mean+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.768","237.553"
"TCV_mean+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.771","235.513"
"TCV_mean+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.774","232.954"
"TCV_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.72","268.287"
"PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.788","222.566"
"PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.793","219.09"
"PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.795","217.174"
"PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.742","254.557"
"MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.774","233.088"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+NA+NA+NA+NA","0.736","260.196"
"TA_mean+TA_sd+PA_sd+TCV_mean+MAT_mean+NA+NA+NA+NA","0.771","237.284"
"TA_mean+TA_sd+PA_sd+TCV_mean+MAT_sd+NA+NA+NA+NA","0.717","271.565"
"TA_mean+TA_sd+PA_sd+TCV_mean+TSN_mean+NA+NA+NA+NA","0.729","264.692"
"TA_mean+TA_sd+PA_sd+TCV_mean+PSN_mean+NA+NA+NA+NA","0.73","264.063"
"TA_mean+TA_sd+PA_sd+PCV_sd+MAT_mean+NA+NA+NA+NA","0.788","224.467"
"TA_mean+TA_sd+PA_sd+PCV_sd+MAT_sd+NA+NA+NA+NA","0.738","259.186"
"TA_mean+TA_sd+PA_sd+PCV_sd+TSN_mean+NA+NA+NA+NA","0.749","252.299"
"TA_mean+TA_sd+PA_sd+PCV_sd+PSN_mean+NA+NA+NA+NA","0.75","251.46"
"TA_mean+TA_sd+PA_sd+MAT_mean+MAT_sd+NA+NA+NA+NA","0.771","237.364"
"TA_mean+TA_sd+PA_sd+MAT_mean+TSN_mean+NA+NA+NA+NA","0.776","233.659"
"TA_mean+TA_sd+PA_sd+MAT_mean+PSN_mean+NA+NA+NA+NA","0.78","231.084"
"TA_mean+TA_sd+PA_sd+MAT_sd+TSN_mean+NA+NA+NA+NA","0.729","264.688"
"TA_mean+TA_sd+PA_sd+MAT_sd+PSN_mean+NA+NA+NA+NA","0.73","264.299"
"TA_mean+TA_sd+PA_sd+TSN_mean+PSN_mean+NA+NA+NA+NA","0.739","258.569"
"TA_mean+TA_sd+TCV_mean+PCV_sd+MAT_mean+NA+NA+NA+NA","0.787","225.514"
"TA_mean+TA_sd+TCV_mean+PCV_sd+MAT_sd+NA+NA+NA+NA","0.738","259.158"
"TA_mean+TA_sd+TCV_mean+PCV_sd+TSN_mean+NA+NA+NA+NA","0.749","252.312"
"TA_mean+TA_sd+TCV_mean+PCV_sd+PSN_mean+NA+NA+NA+NA","0.75","251.303"
"TA_mean+TA_sd+TCV_mean+MAT_mean+MAT_sd+NA+NA+NA+NA","0.768","239.508"
"TA_mean+TA_sd+TCV_mean+MAT_mean+TSN_mean+NA+NA+NA+NA","0.772","236.247"
"TA_mean+TA_sd+TCV_mean+MAT_mean+PSN_mean+NA+NA+NA+NA","0.776","233.434"
"TA_mean+TA_sd+TCV_mean+MAT_sd+TSN_mean+NA+NA+NA+NA","0.729","264.961"
"TA_mean+TA_sd+TCV_mean+MAT_sd+PSN_mean+NA+NA+NA+NA","0.73","264.063"
"TA_mean+TA_sd+TCV_mean+TSN_mean+PSN_mean+NA+NA+NA+NA","0.739","258.823"
